,tmp,cat,sub_cat,model,em_sum,em_mean,em_ci,ea_sum,ea_mean,ea_ci,rea_sum,rea_mean,rea_ci,et_sum,et_mean,et_ci,cc_sum,cc_mean,cc_ci,tokens_sum,tokens_mean,tokens_ci,count_sum,count_mean,count_ci
17,0.2,c2,s8,din,783,0.79,"(77.20%, 81.46%)",705,0.71,"(69.05%, 73.80%)",859,0.87,"(85.27%, 88.80%)",34986674.0,35447.49,"(1952059.26%, 5137439.01%)",901,0.91,"(89.80%, 92.77%)",11814136,11969.74,"(1161391.56%, 1232556.97%)",987,1.0,"(100.00%, 100.00%)"
18,0.2,c2,s9,dail,1658,0.6,"(58.60%, 61.68%)",1695,0.61,"(59.95%, 63.01%)",2326,0.84,"(83.23%, 85.51%)",27729492.0,10057.85,"(567884.78%, 1443685.19%)",2212,0.8,"(78.98%, 81.48%)",9435715,3422.46,"(338583.61%, 345907.87%)",2757,1.0,"(100.00%, 100.00%)"
19,0.2,c2,s9,din,1011,0.37,"(35.16%, 38.18%)",1713,0.62,"(60.61%, 63.66%)",2205,0.8,"(78.72%, 81.24%)",50473261.0,18307.31,"(795716.07%, 2865746.46%)",1908,0.69,"(67.75%, 70.66%)",30975263,11235.13,"(1109502.36%, 1137524.34%)",2757,1.0,"(100.00%, 100.00%)"
20,0.2,c3,s12,dail,221,0.76,"(71.80%, 80.09%)",210,0.72,"(67.82%, 76.51%)",236,0.81,"(77.31%, 84.89%)",10215956.0,35106.38,"(1323123.72%, 5698151.88%)",268,0.92,"(89.48%, 94.71%)",1053016,3618.61,"(348306.77%, 375415.57%)",291,1.0,"(100.00%, 100.00%)"
21,0.2,c3,s12,din,198,0.68,"(63.52%, 72.56%)",219,0.75,"(71.08%, 79.44%)",234,0.8,"(76.57%, 84.26%)",11202150.0,38495.36,"(1948716.24%, 5750355.92%)",269,0.92,"(89.88%, 95.00%)",4140633,14228.98,"(1356713.51%, 1489082.36%)",291,1.0,"(100.00%, 100.00%)"
22,0.2,c3,s13,dail,1484,0.69,"(67.83%, 71.12%)",1592,0.75,"(72.98%, 76.09%)",1811,0.85,"(83.50%, 86.07%)",1768822.0,828.1,"(73624.23%, 91995.81%)",1881,0.88,"(86.90%, 89.22%)",7849781,3674.99,"(364230.09%, 370768.13%)",2136,1.0,"(100.00%, 100.00%)"
23,0.2,c3,s13,din,1308,0.61,"(59.50%, 62.98%)",1490,0.7,"(68.12%, 71.40%)",1686,0.79,"(77.48%, 80.39%)",1419242.0,664.44,"(60822.62%, 72065.20%)",1723,0.81,"(79.25%, 82.08%)",24013887,11242.46,"(1118302.62%, 1130188.67%)",2136,1.0,"(100.00%, 100.00%)"
24,0.2,c3,s14,dail,159,0.44,"(39.50%, 48.10%)",99,0.27,"(23.41%, 31.13%)",257,0.71,"(66.86%, 74.74%)",3545329.0,9766.75,"(460331.88%, 1493017.43%)",338,0.93,"(90.92%, 95.31%)",1584083,4363.87,"(414268.72%, 458504.28%)",363,1.0,"(100.00%, 100.00%)"
25,0.2,c3,s14,din,174,0.48,"(43.60%, 52.27%)",125,0.34,"(30.31%, 38.56%)",248,0.68,"(64.28%, 72.35%)",3874965.0,10674.83,"(473703.91%, 1661263.04%)",328,0.9,"(87.80%, 92.92%)",5382008,14826.47,"(1392192.70%, 1573100.97%)",363,1.0,"(100.00%, 100.00%)"
26,0.2,c3,s15,dail,190,0.09,"(8.07%, 10.15%)",950,0.46,"(43.76%, 47.36%)",1329,0.64,"(62.00%, 65.48%)",18178740.0,8718.82,"(437336.88%, 1306427.15%)",1483,0.71,"(69.49%, 72.77%)",9850904,4724.65,"(468837.02%, 476093.82%)",2085,1.0,"(100.00%, 100.00%)"
27,0.2,c3,s15,din,116,0.06,"(4.74%, 6.39%)",1067,0.51,"(49.37%, 52.98%)",1481,0.71,"(69.39%, 72.67%)",10127162.0,4857.15,"(279896.12%, 691534.28%)",986,0.47,"(45.49%, 49.09%)",24609861,11803.29,"(1173424.61%, 1187233.52%)",2085,1.0,"(100.00%, 100.00%)"
28,0.2,c3,s16,dail,438,0.29,"(27.37%, 31.26%)",1015,0.68,"(65.95%, 69.93%)",1255,0.84,"(82.44%, 85.57%)",5058806.0,3386.08,"(217532.69%, 459683.64%)",1396,0.93,"(92.38%, 94.50%)",6285634,4207.25,"(416128.72%, 425321.61%)",1494,1.0,"(100.00%, 100.00%)"
